"Rdate","Xhr.dectime","Spot","BHPA","BYMA","CFMA","DHPA","MEPA","OCPA","RBMA","RGMA","SCMA","WBPA","WEPA","YCPA"
"2002-10-01",6.28333333333333,"2C",52,13,7,0,13,0,10,0,0,0,0,0
"2002-10-01",6.28333333333333,"3A",11,0,0,0,1,10,0,0,0,0,0,3
"2002-10-01",6.36666666666667,"2C",80,19,7,0,29,0,8,0,0,0,0,2
"2002-10-01",6.36666666666667,"3A",30,0,0,0,1,24,0,0,0,0,1,0
"2002-10-01",6.45,"2B",0,0,0,0,0,0,0,0,0,0,0,6
"2002-10-01",6.45,"2C",47,16,3,0,55,0,1,1,5,0,0,4
"2002-10-01",6.45,"3A",22,0,0,0,6,28,0,0,0,0,1,1
"2002-10-01",6.53333333333333,"1A",0,0,0,0,0,0,0,0,0,0,4,0
"2002-10-01",6.53333333333333,"2C",1,0,0,0,0,0,0,0,1,0,0,0
"2002-10-01",6.53333333333333,"3A",15,1,0,0,3,8,0,0,0,0,0,0
"2002-10-01",6.61666666666667,"1A",0,0,0,0,0,0,0,0,0,0,8,0
"2002-10-01",6.61666666666667,"1B",0,0,0,0,0,0,0,0,0,1,0,0
"2002-10-01",6.61666666666667,"2C",14,1,0,0,39,0,0,0,0,0,0,0
"2002-10-01",6.61666666666667,"3A",22,0,0,0,3,24,0,0,0,0,0,0
"2002-10-01",6.7,"1A",0,0,0,0,0,0,0,0,0,0,7,0
"2002-10-01",6.7,"2C",13,3,0,0,16,2,0,2,0,0,0,0
"2002-10-01",6.7,"3A",13,0,0,0,4,11,0,0,0,0,0,0
"2002-10-03",5.55,"3B",1,0,0,0,0,0,0,0,0,0,0,8
"2002-10-03",5.63333333333333,"3B",12,17,0,0,0,0,0,0,2,0,0,27
"2002-10-03",5.71666666666667,"3B",40,0,8,0,0,0,11,0,1,0,0,0
"2002-10-03",5.8,"2C",35,3,1,0,1,0,8,3,0,0,0,0
"2002-10-03",5.8,"3B",34,24,5,0,4,0,14,1,17,0,0,0
"2002-10-03",5.88333333333333,"2C",49,6,3,0,10,1,3,0,4,0,0,0
"2002-10-03",5.88333333333333,"3B",23,15,5,0,5,0,0,0,5,0,0,0
"2002-10-03",5.96666666666667,"1A",0,0,0,10,0,1,0,0,0,0,2,0
"2002-10-03",5.96666666666667,"2C",25,7,0,0,27,6,3,1,9,0,0,0
"2002-10-03",5.96666666666667,"3B",10,3,0,0,10,8,0,4,4,0,0,0
"2002-10-03",6.05,"1A",0,0,0,2,0,0,0,0,0,3,5,0
"2002-10-03",6.05,"2C",51,4,1,0,11,9,2,2,8,0,0,0
"2002-10-03",6.05,"3B",6,0,0,0,0,2,0,0,0,0,0,0
"2002-10-03",6.13333333333333,"1A",0,0,0,6,0,9,0,0,0,0,1,0
"2002-10-03",6.13333333333333,"2A",0,13,0,0,0,0,0,0,11,0,0,0
"2002-10-03",6.13333333333333,"2C",34,3,2,0,15,9,0,3,0,0,0,0
"2002-10-03",6.13333333333333,"3B",0,0,0,0,2,0,0,0,0,0,0,0
"2002-10-03",6.21666666666667,"2A",30,0,1,0,12,18,0,0,0,0,0,1
"2002-10-03",6.21666666666667,"3B",2,4,0,0,70,15,0,0,3,0,5,0
"2002-10-03",6.3,"2C",48,8,1,0,7,18,0,0,0,0,0,0
"2002-10-03",6.3,"3B",0,6,0,0,0,0,0,0,4,0,0,0
"2002-10-03",6.38333333333333,"2C",37,16,1,0,4,8,0,0,9,0,0,0
"2002-10-03",6.38333333333333,"3B",0,3,0,0,0,0,0,0,7,0,0,0
"2002-10-03",6.46666666666667,"2C",19,3,0,0,13,2,0,0,6,0,0,0
"2002-10-03",6.46666666666667,"3B",0,6,0,0,0,0,0,0,5,0,0,0
"2002-10-03",6.55,"2C",14,15,0,0,40,2,0,2,7,0,0,0
"2002-10-03",6.55,"3B",0,1,0,0,1,0,0,0,8,0,0,0
"2002-10-03",6.63333333333333,"2C",6,0,0,0,27,0,0,0,0,0,0,0
"2002-10-03",6.71666666666667,"2C",0,1,0,0,6,0,0,0,0,0,0,0
"2002-10-03",6.8,"2C",0,15,0,0,0,0,0,0,2,0,0,0
"2002-10-03",6.88333333333333,"2C",0,4,0,0,0,0,0,0,0,0,0,0
"2002-10-03",7.63333333333333,"1A",0,0,0,3,0,0,0,0,0,0,0,0
"2002-10-05",5.43333333333333,"2C",1,0,1,0,0,0,30,0,0,0,0,5
"2002-10-05",5.51666666666667,"2A",9,14,22,0,0,0,24,0,1,0,0,37
"2002-10-05",5.6,"2C",29,14,15,0,0,0,46,0,2,0,0,19
"2002-10-05",5.68333333333333,"2C",46,13,10,0,1,0,22,0,0,0,4,11
"2002-10-05",5.76666666666667,"2C",22,11,6,0,4,0,6,0,3,0,6,4
"2002-10-05",5.76666666666667,"3A",30,0,1,0,0,6,3,0,0,0,0,3
"2002-10-05",5.85,"2A",0,5,0,0,0,0,0,1,8,0,0,0
"2002-10-05",5.85,"2C",11,12,4,0,1,0,0,0,0,0,2,0
"2002-10-05",5.85,"3A",22,12,3,0,1,10,0,0,0,0,0,1
"2002-10-05",5.93333333333333,"2A",0,10,1,0,0,0,0,1,12,0,0,0
"2002-10-05",5.93333333333333,"2C",9,9,0,0,1,0,0,0,1,0,2,0
"2002-10-05",5.93333333333333,"3A",18,6,0,0,1,18,0,0,0,0,0,0
"2002-10-05",6.01666666666667,"3A",28,0,0,0,6,17,0,0,0,0,1,0
"2002-10-05",6.1,"1A",0,0,0,7,0,0,0,0,0,2,5,0
"2002-10-05",6.1,"3A",34,0,0,0,10,35,0,0,0,0,1,0
"2002-10-05",6.18333333333333,"1A",0,1,0,12,0,5,0,0,0,4,8,0
"2002-10-05",6.18333333333333,"2A",0,24,0,0,0,0,0,0,2,0,0,0
"2002-10-05",6.18333333333333,"3A",112,0,0,0,30,31,0,0,0,0,0,0
"2002-10-05",6.26666666666667,"1A",0,0,0,17,0,3,0,0,0,2,5,0
"2002-10-05",6.26666666666667,"2A",0,12,0,0,0,0,0,0,9,0,0,0
"2002-10-05",6.26666666666667,"3A",18,0,0,0,15,24,0,0,0,0,0,0
"2002-10-05",6.35,"1A",0,0,0,8,0,14,0,0,0,2,3,0
"2002-10-05",6.35,"3A",7,0,0,0,22,46,0,0,0,0,0,0
"2002-10-05",6.43333333333333,"1A",0,0,0,5,0,7,0,0,0,2,0,0
"2002-10-05",6.43333333333333,"3A",4,0,0,0,36,40,0,0,0,0,0,0
"2002-10-05",6.51666666666667,"1A",0,0,0,0,0,0,0,0,0,2,0,0
"2002-10-05",6.51666666666667,"3A",5,0,1,0,7,22,0,0,0,0,0,0
"2002-10-05",6.6,"1A",0,0,0,0,0,0,0,0,0,6,0,0
"2002-10-05",6.6,"3A",0,0,0,0,36,6,0,0,0,0,0,0
"2002-10-05",6.68333333333333,"1A",0,0,0,0,0,10,0,0,0,2,0,0
"2002-10-05",6.68333333333333,"3A",2,0,0,0,31,2,0,0,0,0,0,0
"2002-10-05",6.76666666666667,"3A",5,0,0,0,1,0,0,0,0,0,0,0
"2002-10-05",6.85,"3A",1,0,0,0,7,0,0,0,0,0,0,0
"2002-10-07",5.58333333333333,"3B",6,12,15,0,0,0,46,0,0,0,0,22
